"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Organizational Management","Business",43,"Female","Unknown","Black or African American","202","61","221","Unknown","Unknown",0,0,"Unknown International High School","OTHER","9999999"
"Health Information Management","Health Science",58,"Female","Unknown","Hispanic/Latino","934","240","255","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","22674"
"Business Administration","Business",24,"Male","Unknown","Hispanic/Latino","345","359","360","Unknown","Unknown",0,0,"Midland High School","OTHER","30970"
"Education","Education",25,"Female","Yes","Hispanic/Latino","332","356","341","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","0"
"Kinesiology","Math and Science",21,"Male","Unknown","Hispanic/Latino","342","353","346","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Fire Science Technology","Health Science",20,"Male","No","White","385","385","356","Associate Degree","Associate Degree",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Business Administration","Business",30,"Female","Unknown","Hispanic/Latino","349","94","81","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Education","Education",34,"Female","Unknown","White","238","240","205","Unknown","Unknown",0,0,"LAMESA HIGH SCHOOL","FED PELL GRANT","0"
"Sociology","Social and Behavioral Science",23,"Female","No","Hispanic/Latino","345","362","356","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","11296"
"Criminal Justice","Career and Technical",34,"Female","No","Hispanic/Latino","323","NULL","NULL","Bachelor/Four-year Degree","Associate Degree",0,0,"IRVIN HIGH SCHOOL","OTHER","2594"
"Health Information Management","Health Science",40,"Female","Unknown","Hispanic/Latino","34","15","57","Some High School","Some College",0,0,"MISD- LHS","FED PELL GRANT","530"
"Engineering","Math and Science",22,"Male","No","Hispanic/Latino","934","951","951","Some College","Associate Degree",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",31,"Female","Yes","Hispanic/Latino","29","NULL","NULL","Some High School","Some High School",0,0,"Midland High School","FED PELL GRANT","2457"
"Biology","Math and Science",26,"Female","Unknown","Black or African American","345","78","88","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Business Management","Business",28,"Male","Unknown","Asian","310","336","322","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Organizational Management","Business",26,"Female","Unknown","Hispanic/Latino","80","85","87","No High School","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Administration","Business",27,"Male","Unknown","Hispanic/Latino","346","359","358","Unknown","Unknown",0,0,"MONTWOOD HIGH SCHOOL","OTHER","0"
"Business Management","Business",33,"Female","Yes","Hispanic/Latino","NULL","NULL","260","No High School","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",23,"Male","Unknown","White","370","366","359","Some College","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","12658"
"Paralegal","Career and Technical",44,"Female","Yes","Hispanic/Latino","20","79","82","Some High School","No High School",0,0,"MISD- LHS","FED PELL GRANT","2672"
"History","Social and Behavioral Science",29,"Male","Unknown","Hispanic/Latino","35","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Cosmetology","Career and Technical",26,"Male","No","White","962","373","365","High School Diploma or GED","Graduate/Professional Degree",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",29,"Female","Yes","Hispanic/Latino","48","73","93","No High School","High School Diploma or GED",0,0,"Midland High School","OTHER","0"
"Nursing-Associate Degree","Health Science",32,"Female","Yes","White","351","26","187","High School Diploma or GED","High School Diploma or GED",0,0,"ROOSEVELT HIGH SCHOOL","FED PELL GRANT","935"
"Business Administration","Business",27,"Female","Yes","Hispanic/Latino","351","362","353","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Education","Education",33,"Female","Unknown","Hispanic/Latino","NULL","56","NULL","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Modern and Classical Languages","Language and Fine Arts",59,"Female","No","White","936","927","927","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"ROUND ROCK HIGH SCHOOL","OTHER","5105"
"Arts","Language and Fine Arts",35,"Female","Unknown","White","329","360","353","Some College","Some College",0,0,"Texas Ged","OTHER","3728"
"Engineering","Math and Science",22,"Male","Yes","Black or African American","354","346","346","High School Diploma or GED","High School Diploma or GED",0,0,"Unknown International High School","OTHER","250"
"Geology","Math and Science",26,"Male","Yes","Hispanic/Latino","347","360","362","High School Diploma or GED","No High School",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",25,"Female","Unknown","Hispanic/Latino","321","348","345","Unknown","Unknown",0,0,"MISD- LHS","OTHER","1544"
"Business Management","Business",27,"Female","Yes","White","34","33","87","Some High School","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Cosmetology","Career and Technical",29,"Female","Unknown","Hispanic/Latino","NULL","96","85","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Business Administration","Business",30,"Female","No","Hispanic/Latino","47","79","87","Associate Degree","Some College",0,0,"Midland High School","FED PELL GRANT","0"
"Emergency Medical Services","Health Science",23,"Female","Unknown","Unknown","354","355","356","Unknown","Unknown",0,0,"MISD- LHS","OTHER","2530"
"Kinesiology","Math and Science",22,"Female","Unknown","Hispanic/Latino","345","356","357","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","4925"
"Business Administration","Business",35,"Female","Unknown","White","910","925","925","Unknown","Unknown",0,0,"MISD- LHS","OTHER","33414"
"Computer Programming","Career and Technical",25,"Male","Unknown","Hispanic/Latino","363","354","371","Some High School","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",28,"Female","Yes","Black or African American","948","352","345","Some High School","Some High School",0,0,"Midland High School","OTHER","0"
"Health Information Management","Health Science",25,"Female","Yes","Hispanic/Latino","354","367","352","No High School","No High School",0,0,"Midland High School","FED PELL GRANT","0"
"Organizational Management","Business",41,"Female","Yes","Hispanic/Latino","54","86","244","Some High School","Some High School",0,0,"MISD- LHS","OTHER","14576"
"Nursing-Associate Degree","Health Science",36,"Female","Unknown","Hispanic/Latino","351","334","348","Unknown","Unknown",0,1,"Unknown International High School","OTHER","0"
"Kinesiology","Math and Science",28,"Male","Unknown","Hispanic/Latino","NULL","366","358","Some College","Some High School",0,0,"MISD- LHS","OTHER","0"
"Office Systems Technology","Career and Technical",30,"Female","Unknown","Hispanic/Latino","324","353","342","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Respiratory Care","Health Science",28,"Female","Yes","Hispanic/Latino","352","357","353","High School Diploma or GED","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Business Administration","Business",25,"Female","Yes","Hispanic/Latino","354","367","352","No High School","No High School",0,0,"Midland High School","OTHER","0"
"Fire Science Technology","Health Science",20,"Male","No","White","385","385","356","Associate Degree","Associate Degree",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Psychology","Social and Behavioral Science",28,"Female","Yes","Hispanic/Latino","352","357","353","High School Diploma or GED","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Office Systems Technology","Career and Technical",39,"Female","No","Hispanic/Latino","230","240","243","Some High School","Associate Degree",0,0,"BIG BEND HIGH SCHOOL","OTHER","0"
"Business Administration","Business",36,"Female","Unknown","Hispanic/Latino","354","378","356","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",32,"Female","Yes","White","351","26","187","High School Diploma or GED","High School Diploma or GED",0,0,"ROOSEVELT HIGH SCHOOL","OTHER","0"
"Chemistry","Math and Science",36,"Male","Yes","White","18","180","82","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","2584"
"Engineering","Math and Science",25,"Male","No","Hispanic/Latino","373","342","346","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"Unknown International High School","FED PELL GRANT","0"
"Fire Science Technology","Health Science",37,"Female","Yes","White","346","374","376","High School Diploma or GED","High School Diploma or GED",0,0,"EARLY HIGH SCHOOL","OTHER","5237"
"Criminal Justice","Career and Technical",27,"Female","Unknown","Hispanic/Latino","346","363","358","Unknown","Unknown",0,0,"FORT HANCOCK HIGH SCHOOL","OTHER","0"
"Education","Education",36,"Female","Unknown","Hispanic/Latino","354","378","356","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Emergency Medical Services","Health Science",26,"Female","Unknown","Hispanic/Latino","337","351","355","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Computer Programming","Career and Technical",24,"Male","No","Hispanic/Latino","366","375","377","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"STANTON HIGH SCHOOL","OTHER","9999999"
"Business Administration","Business",22,"Female","Unknown","Hispanic/Latino","356","358","352","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","9999999"
"Child Care and Development","Education",30,"Female","Yes","Hispanic/Latino","313","339","321","Unknown","Unknown",0,1,"Midland High School","OTHER","1615"
"English","Language and Fine Arts",33,"Female","No","White","310","NULL","NULL","Unknown","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","0"
"Automotive Technology","Career and Technical",27,"Female","Yes","Hispanic/Latino","923","939","939","High School Diploma or GED","Some High School",0,0,"PENN FOSTER HIGH SCHOOL","OTHER","4345"
"Nursing-Vocational","Health Science",27,"Female","Unknown","Hispanic/Latino","325","348","341","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Biology","Math and Science",26,"Female","Unknown","Black or African American","357","377","367","Unknown","Unknown",0,0,"Unknown International High School","OTHER","0"
"Computer Information Technology","Career and Technical",33,"Female","Unknown","Unknown","343","353","340","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",38,"Female","Yes","Hispanic/Latino","211","240","244","High School Diploma or GED","Some High School",1,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","25961"
"Diesel Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","354","NULL","NULL","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Business Administration","Business",23,"Male","Yes","Hispanic/Latino","333","346","350","Some High School","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","5058"
"Fire Science Technology","Health Science",26,"Male","No","White","362","360","359","Some College","Bachelor/Four-year Degree",0,0,"AUSTIN E LATHROP HIGH SCHOOL","FED PELL GRANT","120"
"Biology","Math and Science",26,"Female","Unknown","White","348","381","362","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",25,"Female","Yes","Hispanic/Latino","354","367","352","No High School","No High School",0,0,"Midland High School","FED PELL GRANT","0"
"Education","Education",50,"Female","Unknown","White","234","364","90","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Chemistry","Math and Science",20,"Female","Unknown","Hispanic/Latino","337","362","342","Unknown","Unknown",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","9999999"
"Education","Education",26,"Female","Unknown","Hispanic/Latino","340","355","344","Unknown","Unknown",0,0,"MISD- LHS","OTHER","2085"
"Biology","Math and Science",22,"Female","Unknown","Unknown","352","368","351","Unknown","High School Diploma or GED",0,1,"Midland High School","OTHER","1514"
"Fire Science Technology","Health Science",32,"Male","Unknown","Hispanic/Latino","953","943","943","Some College","Some High School",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","3232"
"Organizational Management","Business",35,"Female","Unknown","White","338","25","90","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Fire Science Technology","Health Science",27,"Male","No","White","356","368","368","Associate Degree","Graduate/Professional Degree",0,0,"Texas Home School","OTHER","273"
"Business Administration","Business",26,"Female","No","White","350","359","352","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MIDLAND CHRISTIAN SCHOOL","OTHER","40516"
"Biology","Math and Science",20,"Female","Unknown","Asian","357","348","380","Some College","Some College",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","0"
"Emergency Medical Services","Health Science",43,"Male","Yes","Hispanic/Latino","238","180","231","High School Diploma or GED","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Education","Education",36,"Female","Unknown","Hispanic/Latino","354","378","356","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Office Systems Technology","Career and Technical",33,"Female","Unknown","Hispanic/Latino","330","25","221","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","25743"
"Business Administration","Business",22,"Female","Unknown","Hispanic/Latino","348","358","352","High School Diploma or GED","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","28321"
"Business Administration","Business",25,"Male","No","Hispanic/Latino","373","342","346","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"Unknown International High School","OTHER","0"
"Criminal Justice","Career and Technical",39,"Female","Yes","White","320","341","347","No High School","No High School",0,0,"HART HIGH SCHOOL","FED PELL GRANT","1223"
"Office Systems Technology","Career and Technical",31,"Female","Unknown","White","21","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Engineering","Math and Science",25,"Male","No","Hispanic/Latino","352","349","350","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","1360"
"Education","Education",25,"Female","Unknown","Hispanic/Latino","344","364","352","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","3201"
"Office Systems Technology","Career and Technical",46,"Female","Unknown","Hispanic/Latino","310","355","357","High School Diploma or GED","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Computer Information Technology","Career and Technical",22,"Male","Unknown","Asian","330","352","340","Unknown","No High School",0,0,"Midland High School","OTHER","9999999"
"Biology","Math and Science",29,"Female","Unknown","White","48","99","92","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","9999999"
"Nursing-Associate Degree","Health Science",26,"Female","No","Hispanic/Latino","938","941","941","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Biology","Math and Science",31,"Female","No","White","345","373","365","High School Diploma or GED","Associate Degree",0,0,"NORTHEAST HIGH SCHOOL","OTHER","0"
"Paralegal","Career and Technical",33,"Female","Unknown","Hispanic/Latino","346","338","341","Unknown","Unknown",0,0,"Unknown International High School","OTHER","0"
"Health Information Management","Health Science",24,"Female","Yes","Hispanic/Latino","320","347","345","Some High School","No High School",0,0,"CLINT HIGH SCHOOL","OTHER","0"
"Office Systems Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","351","357","357","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Business Management","Business",40,"Male","Unknown","Hispanic/Latino","338","367","366","Unknown","Unknown",0,0,"MCCAMEY HIGH SCHOOL","OTHER","9999999"
"Cosmetology","Career and Technical",23,"Female","No","Hispanic/Latino","345","362","356","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","11296"
"Nursing-Vocational","Health Science",25,"Female","Yes","White","345","345","348","High School Diploma or GED","Some High School",0,0,"Midland High School","OTHER","400"
"Engineering","Math and Science",24,"Female","Unknown","Hispanic/Latino","355","345","332","Unknown","Some College",0,0,"Midland High School","OTHER","1752"
"Health Services Management","Health Science",22,"Male","Unknown","Hispanic/Latino","353","367","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","26467"
"Welding","Career and Technical",22,"Male","No","Hispanic/Latino","934","951","951","Some College","Associate Degree",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",22,"Female","Unknown","Hispanic/Latino","356","358","352","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","9999999"
"Substance Abuse Counseling","Health Science",39,"Female","Yes","Hispanic/Latino","333","34","85","No High School","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","545"
"Arts","Language and Fine Arts",39,"Female","Yes","Hispanic/Latino","158","329","310","Some High School","No High School",0,0,"Unknown International High School","FED PELL GRANT","0"
"Welding","Career and Technical",30,"Male","Unknown","Black or African American","51","349","348","Unknown","Unknown",0,0,"ELSIK HIGH SCHOOL","FED PELL GRANT","0"
"Computer Information Technology","Career and Technical",33,"Female","Yes","Hispanic/Latino","268","240","242","High School Diploma or GED","High School Diploma or GED",0,0,"SAINT JOSEPH HIGH SCHOOL","OTHER","0"
"Child Care and Development","Education",44,"Female","Unknown","White","185","240","207","Unknown","Unknown",0,0,"Midland High School","OTHER","9245"
"Business Management","Business",33,"Female","Yes","Hispanic/Latino","923","932","932","No High School","No High School",0,0,"MISD- LHS","OTHER","917"
"Education","Education",24,"Female","Unknown","Hispanic/Latino","351","358","358","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Organizational Management","Business",38,"Male","Unknown","White","30","70","90","Some College","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Government","Social and Behavioral Science",24,"Male","Unknown","White","341","348","355","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Organizational Management","Business",50,"Female","Unknown","White","234","364","90","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Psychology","Social and Behavioral Science",26,"Male","Unknown","Hispanic/Latino","334","359","334","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","NULL"
"Automotive Technology","Career and Technical",25,"Male","No","White","357","NULL","NULL","Associate Degree","Associate Degree",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","1821"
"Organizational Management","Business",34,"Female","No","Hispanic/Latino","354","377","358","High School Diploma or GED","Associate Degree",0,0,"Midland High School","OTHER","0"
"Engineering","Math and Science",24,"Female","Unknown","Hispanic/Latino","355","345","332","Unknown","Some College",0,0,"Midland High School","FED PELL GRANT","4134"
"Nursing-Vocational","Health Science",45,"Female","Unknown","Hispanic/Latino","334","354","355","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Business Administration","Business",24,"Male","Unknown","Hispanic/Latino","344","357","360","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Arts","Language and Fine Arts",22,"Female","Unknown","Hispanic/Latino","355","359","352","Unknown","Unknown",0,0,"Midland High School","OTHER","72652"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",27,"Male","Yes","Hispanic/Latino","331","362","364","No High School","No High School",0,1,"Texas Ged","OTHER","0"
"Nursing-Associate Degree","Health Science",32,"Female","Yes","White","351","26","187","High School Diploma or GED","High School Diploma or GED",0,0,"ROOSEVELT HIGH SCHOOL","OTHER","0"
"Organizational Management","Business",24,"Male","Unknown","Hispanic/Latino","354","NULL","NULL","Some College","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","6876"
"Biology","Math and Science",29,"Male","Unknown","White","347","79","86","Some College","Some College",0,0,"Midland High School","OTHER","6646"
"Diesel Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","360","358","351","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","5494"
"History","Social and Behavioral Science",38,"Female","Unknown","White","28","90","89","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Office Systems Technology","Career and Technical",59,"Female","Unknown","Hispanic/Latino","310","356","348","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","FED PELL GRANT","2"
"Business Management","Business",26,"Female","Yes","Hispanic/Latino","315","352","342","High School Diploma or GED","Some High School",0,1,"Texas Resident Individual Appro","OTHER","9999999"
"Engineering","Math and Science",24,"Female","Unknown","Hispanic/Latino","355","345","332","Unknown","Some College",0,0,"Midland High School","OTHER","5605"
"Engineering","Math and Science",22,"Female","Yes","Hispanic/Latino","363","367","362","Some High School","High School Diploma or GED",0,0,"MISD- LHS","OTHER","16969"
"Engineering","Math and Science",22,"Male","Yes","Black or African American","354","346","346","High School Diploma or GED","High School Diploma or GED",0,0,"Unknown International High School","FED PELL GRANT","250"
"Sociology","Social and Behavioral Science",28,"Female","Unknown","Hispanic/Latino","939","941","941","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Business Management","Business",52,"Female","Unknown","Black or African American","310","354","360","Unknown","Some College",0,0,"Texas Ged","FED PELL GRANT","0"
"English","Language and Fine Arts",27,"Female","No","White","329","358","351","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"CONTINENTAL ACADEMY","OTHER","0"
"Fire Science Technology","Health Science",26,"Female","Unknown","Hispanic/Latino","82","74","82","Some College","Some High School",0,0,"MISD- LHS","FED PELL GRANT","9999999"
"Business Administration","Business",26,"Male","Unknown","Hispanic/Latino","338","363","355","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Education","Education",36,"Female","No","Hispanic/Latino","65","69","256","Some College","Associate Degree",0,0,"MISD- LHS","OTHER","18030"
"Kinesiology","Math and Science",27,"Male","No","White","356","368","368","Associate Degree","Graduate/Professional Degree",0,0,"Texas Home School","OTHER","273"
"Nursing-Associate Degree","Health Science",35,"Female","Yes","Hispanic/Latino","333","369","368","No High School","No High School",0,0,"FORT HANCOCK HIGH SCHOOL","FED PELL GRANT","999"
"Health Information Management","Health Science",37,"Female","Unknown","Black or African American","16","34","65","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Energy Technology","Career and Technical",21,"Male","No","Hispanic/Latino","933","930","930","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"Midland High School","OTHER","9999999"
"Business Administration","Business",23,"Male","Yes","Hispanic/Latino","333","346","350","Some High School","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","9999999"
"Welding","Career and Technical",25,"Male","No","Hispanic/Latino","373","342","346","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"Unknown International High School","FED PELL GRANT","0"
"Fire Science Technology","Health Science",36,"Male","No","Black or African American","335","NULL","NULL","High School Diploma or GED","Graduate/Professional Degree",0,0,"COPPERAS COVE HIGH SCHOOL","OTHER","9999999"
"Biology","Math and Science",35,"Female","Unknown","White","329","360","353","Some College","Some College",0,0,"Texas Ged","FED PELL GRANT","3728"
"Substance Abuse Counseling","Health Science",40,"Female","Unknown","Black or African American","343","378","367","Some College","Some College",0,0,"Midland High School","OTHER","0"
"Business Administration","Business",23,"Female","Unknown","Asian","351","345","339","Unknown","Unknown",0,0,"MISD- LHS","OTHER","1738"
"Business Administration","Business",25,"Female","Yes","Hispanic/Latino","334","365","358","Some High School","Some High School",0,1,"Midland High School","FED PELL GRANT","0"
"Cosmetology","Career and Technical",23,"Female","Unknown","Hispanic/Latino","357","348","364","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","8721"
"Office Systems Technology","Career and Technical",30,"Female","No","Hispanic/Latino","351","343","349","High School Diploma or GED","Associate Degree",0,0,"Midland High School","OTHER","0"
"Education","Education",22,"Female","Unknown","Hispanic/Latino","356","358","354","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","3596"
"Health Information Management","Health Science",33,"Female","Yes","Hispanic/Latino","346","339","347","High School Diploma or GED","High School Diploma or GED",0,0,"Texas Ged","FED PELL GRANT","0"
"Education","Education",29,"Female","No","Hispanic/Latino","345","358","355","Associate Degree","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","52"
"Cosmetology","Career and Technical",38,"Male","Unknown","White","15","78","90","Unknown","Unknown",0,1,"Texas Ged","OTHER","9999999"
"Business Management","Business",28,"Female","Yes","Hispanic/Latino","21","56","82","High School Diploma or GED","High School Diploma or GED",0,1,"Midland High School","OTHER","20824"
"Fire Science Technology","Health Science",40,"Male","Unknown","Hispanic/Latino","347","361","373","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Paralegal","Career and Technical",38,"Female","Unknown","Black or African American","326","62","354","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Kinesiology","Math and Science",24,"Female","Unknown","Hispanic/Latino","350","340","352","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","1977"
"Business Administration","Business",29,"Male","Unknown","White","371","360","346","Unknown","Unknown",0,1,"Texas Ged","OTHER","9999999"
"Biology","Math and Science",21,"Male","Unknown","Hispanic/Latino","352","358","361","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","7165"
"Office Systems Technology","Career and Technical",23,"Male","Unknown","White","370","366","359","Some College","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Business Management","Business",28,"Female","Unknown","White","342","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","OTHER","1133"
"Business Administration","Business",35,"Female","No","Hispanic/Latino","43","98","93","High School Diploma or GED","Graduate/Professional Degree",0,0,"MISD- LHS","FED PELL GRANT","2735"
"Biology","Math and Science",25,"Male","Unknown","Black or African American","355","358","355","Some College","Some College",0,0,"Midland High School","OTHER","0"
"Arts","Language and Fine Arts",24,"Male","Unknown","Hispanic/Latino","351","361","357","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",26,"Male","Unknown","Asian","311","332","323","Unknown","Unknown",0,0,"MISD- LHS","OTHER","3486"
"Office Systems Technology","Career and Technical",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","523"
"Biology","Math and Science",35,"Female","Unknown","White","329","360","353","Some College","Some College",0,0,"Texas Ged","OTHER","3728"
"Paralegal","Career and Technical",31,"Female","Yes","Hispanic/Latino","320","364","346","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Administration","Business",25,"Female","Yes","Hispanic/Latino","367","369","373","No High School","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",26,"Male","No","White","962","373","365","High School Diploma or GED","Graduate/Professional Degree",0,0,"MISD- LHS","OTHER","0"
"Respiratory Care","Health Science",25,"Female","Unknown","Black or African American","324","364","342","Unknown","Unknown",0,0,"PERMIAN HIGH SCHOOL","FED PELL GRANT","4100"
"Criminal Justice","Career and Technical",31,"Male","Unknown","Black or African American","313","NULL","NULL","Unknown","Unknown",0,0,"FRANCIS LEWIS HIGH SCHOOL","OTHER","13"
"Business Management","Business",22,"Male","Unknown","Hispanic/Latino","364","356","345","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Psychology","Social and Behavioral Science",24,"Female","Unknown","Hispanic/Latino","349","355","363","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Education","Education",25,"Female","Yes","Hispanic/Latino","351","359","354","No High School","No High School",0,0,"ROBERT LEE HIGH SCHOOL","OTHER","9999999"
"Criminal Justice","Career and Technical",24,"Female","Unknown","Hispanic/Latino","955","343","348","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","20"
"Emergency Medical Services","Health Science",32,"Female","Unknown","Hispanic/Latino","315","341","339","Unknown","High School Diploma or GED",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","0"
"Education","Education",24,"Female","Yes","Hispanic/Latino","326","342","341","No High School","No High School",0,0,"GREENWOOD HIGH SCHOOL","OTHER","0"
"Paralegal","Career and Technical",26,"Female","Yes","Hispanic/Latino","339","355","352","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","925"
"Kinesiology","Math and Science",24,"Male","No","Hispanic/Latino","335","361","349","Bachelor/Four-year Degree","High School Diploma or GED",0,0,"Midland High School","OTHER","14799"
